SentenceFrame,Typicality,QuantifierType,Sentence
Frame107,Typical,Few,Practically no sailors abandon ships that are about to capsize .
Frame107,Atypical,Most,Practically all sailors abandon rowboats that are about to capsize .
Frame107,Atypical,Few,Practically no sailors abandon rowboats that are about to capsize .
Frame108,Typical,Most,A large number of spies collect data from foreign countries .
Frame108,Typical,Few,A small number of spies collect data from foreign countries .
Frame108,Atypical,Most,A large number of spies collect sand from foreign countries .
Frame108,Atypical,Few,A small number of spies collect sand from foreign countries .
Frame109,Typical,Most,Nearly all songwriters create music specifically for their own band .
Frame109,Typical,Few,Rather few songwriters create music specifically for their own band .
Frame109,Atypical,Most,Nearly all songwriters create stages specifically for their own band .
Frame109,Atypical,Few,Rather few songwriters create stages specifically for their own band .
Frame110,Typical,Most,Lots of snakes devour eggs in one large bite .
Frame110,Typical,Few,Hardly any snakes devour eggs in one large bite .
Frame110,Atypical,Most,Lots of snakes devour pigs in one large bite .
Frame110,Atypical,Few,Hardly any snakes devour pigs in one large bite .
Frame111,Typical,Most,A lot of detectives notice clues all around the crime scene .
Frame111,Typical,Few,A very few detectives notice clues all around the crime scene .
Frame111,Atypical,Most,A lot of detectives notice reporters all around the crime scene .
Frame111,Atypical,Few,A very few detectives notice reporters all around the crime scene .
Frame112,Typical,Most,Many families schedule vacations during the summer months .
Frame112,Typical,Few,Few families schedule vacations during the summer months .
Frame112,Atypical,Most,Many families schedule discussions during the summer months .
Frame112,Atypical,Few,Few families schedule discussions during the summer months .
Frame113,Typical,Most,Most therapists make diagnoses based on years of experience .
Frame113,Typical,Few,Few therapists make diagnoses based on years of experience .
Frame113,Atypical,Most,Most therapists make deals based on years of experience .
Frame113,Atypical,Few,Few therapists make deals based on years of experience .
Frame114,Typical,Most,Almost all lifeguards protect swimmers at the beach .
Frame114,Typical,Few,Almost no lifeguards protect swimmers at the beach .
Frame114,Atypical,Most,Almost all lifeguards protect birds at the beach .
Frame114,Atypical,Few,Almost no lifeguards protect birds at the beach .
Frame115,Typical,Most,Practically all dentists pull teeth in their office .
Frame115,Typical,Few,Practically no dentists pull teeth in their office .
Frame115,Atypical,Most,Practically all dentists pull files in their office .
Frame115,Atypical,Few,Practically no dentists pull files in their office .
Frame116,Typical,Most,A large number of salesmen market products to prospective buyers .
Frame116,Typical,Few,A small number of salesmen market products to prospective buyers .
Frame116,Atypical,Most,A large number of salesmen market values to prospective buyers .
Frame116,Atypical,Few,A small number of salesmen market values to prospective buyers .
Frame117,Typical,Most,Nearly all aquariums give sharks a lot of special attention .
Frame117,Typical,Few,Rather few aquariums give sharks a lot of special attention .
Frame117,Atypical,Most,Nearly all aquariums give donors a lot of special attention .
Frame117,Atypical,Few,Rather few aquariums give donors a lot of special attention .
Frame118,Typical,Most,Lots of burglars have disguises when they are breaking into a house .
Frame118,Typical,Few,Hardly any burglars have disguises when they are breaking into a house .
Frame118,Atypical,Most,Lots of burglars have hostages when they are breaking into a house .
Frame118,Atypical,Few,Hardly any burglars have hostages when they are breaking into a house .
Frame119,Typical,Most,A lot of tenants rent apartments on a monthly basis .
Frame119,Typical,Few,A very few tenants rent apartments on a monthly basis .
Frame119,Atypical,Most,A lot of tenants rent lawnmowers on a monthly basis .
Frame119,Atypical,Few,A very few tenants rent lawnmowers on a monthly basis .
Frame120,Typical,Most,Many custodians scrub sinks before applying a disinfectant .
Frame120,Typical,Few,Few custodians scrub sinks before applying a disinfectant .
Frame120,Atypical,Most,Many custodians scrub trucks before applying a disinfectant .
Frame120,Atypical,Few,Few custodians scrub trucks before applying a disinfectant .
