SentenceFrame,Typicality,QuantifierType,Sentence
Frame106,Typical,Often,Dogs often gnaw bones to exercise their jaws .
Frame106,Typical,Rarely,Dogs rarely gnaw bones to exercise their jaws .
Frame106,Atypical,Often,Dogs often gnaw tires to exercise their jaws .
Frame106,Atypical,Rarely,Dogs rarely gnaw tires to exercise their jaws .
Frame107,Typical,Often,Sailors often abandon ships that are about to capsize .
Frame107,Typical,Rarely,Sailors rarely abandon ships that are about to capsize .
Frame107,Atypical,Often,Sailors often abandon rowboats that are about to capsize .
Frame107,Atypical,Rarely,Sailors rarely abandon rowboats that are about to capsize .
Frame108,Typical,Often,Spies often collect data from foreign countries .
Frame108,Typical,Rarely,Spies rarely collect data from foreign countries .
Frame108,Atypical,Often,Spies often collect sand from foreign countries .
Frame108,Atypical,Rarely,Spies rarely collect sand from foreign countries .
Frame109,Typical,Often,Songwriters often create music specifically for their own band .
Frame109,Typical,Rarely,Songwriters rarely create music specifically for their own band .
Frame109,Atypical,Often,Songwriters often create stages specifically for their own band .
Frame109,Atypical,Rarely,Songwriters rarely create stages specifically for their own band .
Frame110,Typical,Often,Snakes often devour eggs in one large bite .
Frame110,Typical,Rarely,Snakes rarely devour eggs in one large bite .
Frame110,Atypical,Often,Snakes often devour pigs in one large bite .
Frame110,Atypical,Rarely,Snakes rarely devour pigs in one large bite .
Frame111,Typical,Often,Detectives often notice clues all around the crime scene .
Frame111,Typical,Rarely,Detectives rarely notice clues all around the crime scene .
Frame111,Atypical,Often,Detectives often notice reporters all around the crime scene .
Frame111,Atypical,Rarely,Detectives rarely notice reporters all around the crime scene .
Frame112,Typical,Often,Families often schedule vacations during the summer months .
Frame112,Typical,Rarely,Families rarely schedule vacations during the summer months .
Frame112,Atypical,Often,Families often schedule discussions during the summer months .
Frame112,Atypical,Rarely,Families rarely schedule discussions during the summer months .
Frame113,Typical,Often,Therapists often make diagnoses based on years of experience .
Frame113,Typical,Rarely,Therapists rarely make diagnoses based on years of experience .
Frame113,Atypical,Often,Therapists often make deals based on years of experience .
Frame113,Atypical,Rarely,Therapists rarely make deals based on years of experience .
Frame114,Typical,Often,Lifeguards often protect swimmers at the beach .
Frame114,Typical,Rarely,Lifeguards rarely protect swimmers at the beach .
Frame114,Atypical,Often,Lifeguards often protect birds at the beach .
Frame114,Atypical,Rarely,Lifeguards rarely protect birds at the beach .
Frame115,Typical,Often,Dentists often pull teeth in their office .
Frame115,Typical,Rarely,Dentists rarely pull teeth in their office .
Frame115,Atypical,Often,Dentists often pull files in their office .
Frame115,Atypical,Rarely,Dentists rarely pull files in their office .
Frame116,Typical,Often,Salesmen often market products to prospective buyers .
Frame116,Typical,Rarely,Salesmen rarely market products to prospective buyers .
Frame116,Atypical,Often,Salesmen often market values to prospective buyers .
Frame116,Atypical,Rarely,Salesmen rarely market values to prospective buyers .
Frame117,Typical,Often,Aquariums often give sharks a lot of special attention .
Frame117,Typical,Rarely,Aquariums rarely give sharks a lot of special attention .
Frame117,Atypical,Often,Aquariums often give donors a lot of special attention .
Frame117,Atypical,Rarely,Aquariums rarely give donors a lot of special attention .
Frame118,Typical,Often,Burglars often have disguises when they are breaking into a house .
Frame118,Typical,Rarely,Burglars rarely have disguises when they are breaking into a house .
Frame118,Atypical,Often,Burglars often have hostages when they are breaking into a house .
Frame118,Atypical,Rarely,Burglars rarely have hostages when they are breaking into a house .
Frame119,Typical,Often,Tenants often rent apartments on a monthly basis .
Frame119,Typical,Rarely,Tenants rarely rent apartments on a monthly basis .
Frame119,Atypical,Often,Tenants often rent lawnmowers on a monthly basis .
Frame119,Atypical,Rarely,Tenants rarely rent lawnmowers on a monthly basis .
Frame120,Typical,Often,Custodians often scrub sinks before applying a disinfectant .
Frame120,Typical,Rarely,Custodians rarely scrub sinks before applying a disinfectant .
Frame120,Atypical,Often,Custodians often scrub trucks before applying a disinfectant .
Frame120,Atypical,Rarely,Custodians rarely scrub trucks before applying a disinfectant .
